Similar to EAST CHINA NORMAL UNIVERSITY (N=9989)
   1. UNIVERSITY OF WATERLOO | sim=0.9566
   2. BEIJING NORMAL UNIVERSITY | sim=0.9513
   3. UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA | sim=0.9494
   4. CHONGQING UNIVERSITY | sim=0.9463
   5. UNIVERSITY OF VICTORIA | sim=0.9422
   6. NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU) | sim=0.9414
   7. NANJING NORMAL UNIVERSITY | sim=0.9404
   8. SHENZHEN UNIVERSITY | sim=0.9356
   9. ISLAMIC AZAD UNIVERSITY | sim=0.9345
  10. SOUTHWEST UNIVERSITY - CHINA | sim=0.9338
  11. UNIVERSITY OF WOLLONGONG | sim=0.9333
  12. UNIVERSITY OF BASQUE COUNTRY | sim=0.9323
  13. GEORGIA INSTITUTE OF TECHNOLOGY | sim=0.9296
  14. UNIVERSITY OF DELAWARE | sim=0.9290
  15. UNIVERSITY OF QUEBEC | sim=0.9278
  16. VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY | sim=0.9273
  17. DALIAN UNIVERSITY OF TECHNOLOGY | sim=0.9273
  18. UNIVERSITY OF GRANADA | sim=0.9261
  19. KING ABDULAZIZ UNIVERSITY | sim=0.9233
  20. LANZHOU UNIVERSITY | sim=0.9221
  21. SOUTH CHINA NORMAL UNIVERSITY | sim=0.9211
  22. CITY UNIVERSITY OF HONG KONG | sim=0.9209
  23. NORTH CAROLINA STATE UNIVERSITY | sim=0.9186
  24. PURDUE UNIVERSITY | sim=0.9171
  25. PURDUE UNIVERSITY SYSTEM | sim=0.9159
  26. UNIVERSITE DE RENNES | sim=0.9158
  27. DELFT UNIVERSITY OF TECHNOLOGY | sim=0.9151
  28. UNIVERSITY OF CALIFORNIA RIVERSIDE | sim=0.9143
  29. MINIST EDUC | sim=0.9139
  30. TECHNICAL UNIVERSITY OF BERLIN | sim=0.9119
  31. PRES EUROPEAN UNIV BRETAGNE | sim=0.9113
  32. UNIVERSITE DE LORRAINE | sim=0.9113
  33. NANJING UNIVERSITY | sim=0.9100
  34. COMMUNAUTE UNIVERSITE GRENOBLE ALPES | sim=0.9094
  35. UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS | sim=0.9090
  36. POLISH ACADEMY OF SCIENCES | sim=0.9089
  37. UNIVERSITE GRENOBLE ALPES (UGA) | sim=0.9088
  38. INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM) | sim=0.9087
  39. HONG KONG POLYTECHNIC UNIVERSITY | sim=0.9070
  40. UNIVERSITY OF MISSOURI SYSTEM | sim=0.9067
  41. KING SAUD UNIVERSITY | sim=0.9064
  42. UNIVERSITAT POLITECNICA DE CATALUNYA | sim=0.9064
  43. UNIVERSIDADE DE LISBOA | sim=0.9042
  44. COMSATS UNIVERSITY ISLAMABAD (CUI) | sim=0.9034
  45. SOUTHEAST UNIVERSITY - CHINA | sim=0.9033
  46. UNIVERSITY OF JOHANNESBURG | sim=0.9032
  47. TIANJIN UNIVERSITY | sim=0.9030
  48. FLORIDA STATE UNIVERSITY | sim=0.9027
  49. UNIVERSITY OF BRISTOL | sim=0.9020
  50. UNIVERSITY OF MARYLAND COLLEGE PARK | sim=0.9015
  51. CHINESE UNIVERSITY OF HONG KONG | sim=0.9014
  52. BEN-GURION UNIVERSITY OF THE NEGEV | sim=0.9011
  53. LOUISIANA STATE UNIVERSITY | sim=0.9010
  54. KARLSRUHE INSTITUTE OF TECHNOLOGY | sim=0.9007
  55. HARBIN INSTITUTE OF TECHNOLOGY | sim=0.9006
  56. TEXAS A&M UNIVERSITY COLLEGE STATION | sim=0.9001
  57. UNIVERSITY OF ADELAIDE | sim=0.8989
  58. NATIONAL INSTITUTE OF TECHNOLOGY (NIT SYSTEM) | sim=0.8987
  59. CARNEGIE MELLON UNIVERSITY | sim=0.8984
  60. ROYAL INSTITUTE OF TECHNOLOGY | sim=0.8982
  61. SHANDONG UNIVERSITY | sim=0.8976
  62. GUANGZHOU UNIVERSITY | sim=0.8971
  63. RWTH AACHEN UNIVERSITY | sim=0.8969
  64. JILIN UNIVERSITY | sim=0.8963
  65. WUHAN UNIVERSITY | sim=0.8959
  66. UNIVERSITY OF SOUTH CAROLINA SYSTEM | sim=0.8955
  67. UNIVERSITY OF SOUTH CAROLINA COLUMBIA | sim=0.8955
  68. UNIVERSITY OF NEBRASKA LINCOLN | sim=0.8950
  69. STONY BROOK UNIVERSITY | sim=0.8948
  70. WASHINGTON STATE UNIVERSITY | sim=0.8935
  71. UNIVERSIDADE ESTADUAL DE CAMPINAS | sim=0.8931
  72. UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN | sim=0.8930
  73. PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK | sim=0.8922
  74. CONSIGLIO NAZIONALE DELLE RICERCHE (CNR) | sim=0.8922
  75. TEXAS A&M UNIVERSITY SYSTEM | sim=0.8921
  76. QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT) | sim=0.8913
  77. UNIVERSITY OF CALIFORNIA IRVINE | sim=0.8909
  78. UNIVERSITY OF TEHRAN | sim=0.8906
  79. UNIVERSITY OF MASSACHUSETTS AMHERST | sim=0.8905
  80. TECHNICAL UNIVERSITY OF MUNICH | sim=0.8902
  81. TOHOKU UNIVERSITY | sim=0.8902
  82. UNIVERSITY OF CALIFORNIA SANTA BARBARA | sim=0.8897
  83. UNIVERSIDADE DE AVEIRO | sim=0.8896
  84. AUBURN UNIVERSITY SYSTEM | sim=0.8892
  85. AUBURN UNIVERSITY | sim=0.8892
  86. UNIVERSITY OF SASKATCHEWAN | sim=0.8884
  87. IOWA STATE UNIVERSITY | sim=0.8880
  88. SWANSEA UNIVERSITY | sim=0.8880
  89. UNIV BRETAGNE LOIRE | sim=0.8878
  90. HUNAN UNIVERSITY | sim=0.8877
  91. UNIVERSITY OF NAPLES FEDERICO II | sim=0.8870
  92. XIAMEN UNIVERSITY | sim=0.8859
  93. ARIZONA STATE UNIVERSITY | sim=0.8857
  94. SOUTH CHINA UNIVERSITY OF TECHNOLOGY | sim=0.8855
  95. CURTIN UNIVERSITY | sim=0.8851
  96. MICHIGAN STATE UNIVERSITY | sim=0.8847
  97. UNIVERSITE PSL | sim=0.8846
  98. SHANGHAI UNIVERSITY | sim=0.8844
  99. TECHNICAL UNIVERSITY OF DENMARK | sim=0.8843
 100. KYOTO UNIVERSITY | sim=0.8838
 101. SICHUAN UNIVERSITY | sim=0.8836
 102. UNIVERSITY OF SHEFFIELD | sim=0.8836
 103. NATIONAL CHENG KUNG UNIVERSITY | sim=0.8832
 104. SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY | sim=0.8832
 105. ARIZONA STATE UNIVERSITY-TEMPE | sim=0.8831
 106. CITY UNIVERSITY OF NEW YORK (CUNY) SYSTEM | sim=0.8829
 107. SEOUL NATIONAL UNIVERSITY (SNU) | sim=0.8827
 108. CLEMSON UNIVERSITY | sim=0.8821
 109. UNIVERSITY OF TEXAS AUSTIN | sim=0.8815
 110. QUEENS UNIVERSITY BELFAST | sim=0.8814
 111. UNIVERSITY OF ALBERTA | sim=0.8811
 112. UNIVERSITY OF PISA | sim=0.8810
 113. HONG KONG BAPTIST UNIVERSITY | sim=0.8809
 114. NANKAI UNIVERSITY | sim=0.8807
 115. ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE | sim=0.8806
 116. ETH ZURICH | sim=0.8806
 117. UNIVERSITY OF WISCONSIN MADISON | sim=0.8804
 118. UNIVERSITY OF COLORADO BOULDER | sim=0.8804
 119. UNIVERSITE FEDERALE TOULOUSE MIDI-PYRENEES (COMUE) | sim=0.8801
 120. EGYPTIAN KNOWLEDGE BANK (EKB) | sim=0.8801
 121. NANYANG TECHNOLOGICAL UNIVERSITY | sim=0.8800
 122. STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM | sim=0.8798
 123. UNIVERSITY OF TECHNOLOGY SYDNEY | sim=0.8796
 124. UNIVERSITE DE BORDEAUX | sim=0.8795
 125. UTAH SYSTEM OF HIGHER EDUCATION | sim=0.8790
 126. UNIVERSITY OF NEW SOUTH WALES SYDNEY | sim=0.8789
 127. UNIVERSITY OF SOUTH FLORIDA | sim=0.8786
 128. UNIVERSITY OF VIENNA | sim=0.8784
 129. COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO) | sim=0.8780
 130. SAPIENZA UNIVERSITY ROME | sim=0.8779
 131. AUSTRALIAN NATIONAL UNIVERSITY | sim=0.8778
 132. UNIVERSITY OF OULU | sim=0.8778
 133. SHANDONG NORMAL UNIVERSITY | sim=0.8776
 134. UNIV LYON COMUE | sim=0.8768
 135. UNIVERSIDAD POLITECNICA DE MADRID | sim=0.8766
 136. UNIV PARIS EST COMUE | sim=0.8765
 137. HUNAN NORMAL UNIVERSITY | sim=0.8763
 138. TONGJI UNIVERSITY | sim=0.8759
 139. UNIVERSITY OF YORK - UK | sim=0.8758
 140. YUNNAN UNIVERSITY | sim=0.8758
 141. UNIVERSITE DE TOULOUSE | sim=0.8756
 142. UNIV LILLE NORD FRANCE COMUE | sim=0.8754
 143. UNIVERSITY OF ERLANGEN NUREMBERG | sim=0.8753
 144. CENTRAL CHINA NORMAL UNIVERSITY | sim=0.8741
 145. NATIONAL TAIWAN UNIVERSITY | sim=0.8741
 146. UNIVERSITY OF TENNESSEE KNOXVILLE | sim=0.8738
 147. XI'AN JIAOTONG UNIVERSITY | sim=0.8733
 148. UNIVERSITY OF MISSOURI COLUMBIA | sim=0.8725
 149. MEMORIAL UNIVERSITY NEWFOUNDLAND | sim=0.8725
 150. ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY (RMIT) | sim=0.8724
 151. SHAANXI NORMAL UNIVERSITY | sim=0.8724
 152. KYUSHU UNIVERSITY | sim=0.8724
 153. UNIV CONFEDERALE LEONARD DE VINCI | sim=0.8724
 154. CALIFORNIA STATE UNIVERSITY SYSTEM | sim=0.8722
 155. UNIVERSITY OF LJUBLJANA | sim=0.8721
 156. SUN YAT SEN UNIVERSITY | sim=0.8718
 157. UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS | sim=0.8716
 158. UNIVERSIDADE DE SAO PAULO | sim=0.8713
 159. UNIVERSITY OF CONNECTICUT | sim=0.8712
 160. BROWN UNIVERSITY | sim=0.8710
 161. UNIVERSITY OF MUNSTER | sim=0.8709
 162. ARISTOTLE UNIVERSITY OF THESSALONIKI | sim=0.8708
 163. TSINGHUA UNIVERSITY | sim=0.8705
 164. RICE UNIVERSITY | sim=0.8705
 165. UNIVERSITY OF AUCKLAND | sim=0.8705
 166. TECHNISCHE UNIVERSITAT DRESDEN | sim=0.8703
 167. LEIBNIZ UNIVERSITY HANNOVER | sim=0.8703
 168. GRIFFITH UNIVERSITY | sim=0.8701
 169. UNIVERSITY OF PADUA | sim=0.8697
 170. UNIVERSITY OF WISCONSIN SYSTEM | sim=0.8697
 171. UNIVERSIDADE DE COIMBRA | sim=0.8695
 172. UNITED STATES DEPARTMENT OF DEFENSE | sim=0.8695
 173. NEVADA SYSTEM OF HIGHER EDUCATION (NSHE) | sim=0.8695
 174. TARBIAT MODARES UNIVERSITY | sim=0.8692
 175. SHANGHAI JIAO TONG UNIVERSITY | sim=0.8692
 176. CHALMERS UNIVERSITY OF TECHNOLOGY | sim=0.8691
 177. PENNSYLVANIA STATE UNIVERSITY | sim=0.8688
 178. RUTGERS UNIVERSITY NEW BRUNSWICK | sim=0.8686
 179. RUTGERS UNIVERSITY SYSTEM | sim=0.8683
 180. FLORIDA INTERNATIONAL UNIVERSITY | sim=0.8682
 181. HUN-REN | sim=0.8677
 182. UNIVERSITY OF FLORENCE | sim=0.8672
 183. UNIVERSITY OF HOUSTON | sim=0.8672
 184. UNIVERSITY OF HOUSTON SYSTEM | sim=0.8670
 185. UNIVERSITY OF TSUKUBA | sim=0.8666
 186. ZHEJIANG UNIVERSITY | sim=0.8665
 187. UNIVERSITY OF SEVILLA | sim=0.8664
 188. UNIVERSITY OF TRENTO | sim=0.8664
 189. UNIVERSITY OF BOLOGNA | sim=0.8664
 190. KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY | sim=0.8662
 191. UNIVERSITAT POLITECNICA DE VALENCIA | sim=0.8660
 192. HENAN UNIVERSITY | sim=0.8657
 193. UNIVERSITY OF NOTRE DAME | sim=0.8647
 194. TEXAS TECH UNIVERSITY | sim=0.8645
 195. BEIHANG UNIVERSITY | sim=0.8645
 196. UNIVERSITY OF EXETER | sim=0.8642
 197. UNIVERSITY OF POTSDAM | sim=0.8637
 198. HANYANG UNIVERSITY | sim=0.8636
 199. HERIOT WATT UNIVERSITY | sim=0.8634
 200. KOREA UNIVERSITY | sim=0.8634
 201. SEJONG UNIVERSITY | sim=0.8634
 202. VRIJE UNIVERSITEIT BRUSSEL | sim=0.8633
 203. UNIVERSITY SYSTEM OF GEORGIA | sim=0.8631
 204. VICTORIA UNIVERSITY WELLINGTON | sim=0.8630
 205. UNIVERSITY OF MINNESOTA SYSTEM | sim=0.8630
 206. NINGBO UNIVERSITY | sim=0.8629
 207. INSTITUT POLYTECHNIQUE DE PARIS | sim=0.8628
 208. UNIVERSITY OF MINNESOTA TWIN CITIES | sim=0.8627
 209. UNIVERSITI MALAYA | sim=0.8627
 210. UNIVERSITE TOULOUSE III - PAUL SABATIER | sim=0.8626
 211. CENTRAL SOUTH UNIVERSITY | sim=0.8626
 212. LOUISIANA STATE UNIVERSITY SYSTEM | sim=0.8626
 213. QUEENS UNIVERSITY - CANADA | sim=0.8624
 214. UNIVERSITY OF BRITISH COLUMBIA | sim=0.8622
 215. TEXAS TECH UNIVERSITY SYSTEM | sim=0.8621
 216. UNIVERSITY OF TENNESSEE SYSTEM | sim=0.8620
 217. HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY | sim=0.8610
 218. LANCASTER UNIVERSITY | sim=0.8608
 219. RUSSIAN ACADEMY OF SCIENCES | sim=0.8603
 220. PUSAN NATIONAL UNIVERSITY | sim=0.8602
 221. UNIVERSITY OF ILLINOIS SYSTEM | sim=0.8597
 222. HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY | sim=0.8595
 223. UNIVERSITY OF ZARAGOZA | sim=0.8593
 224. UNIVERSITY OF SOUTHAMPTON | sim=0.8591
 225. UNIVERSITY OF GOTTINGEN | sim=0.8591
 226. MCGILL UNIVERSITY | sim=0.8591
 227. MACQUARIE UNIVERSITY | sim=0.8581
 228. UNIVERSITY OF LEEDS | sim=0.8580
 229. HANGZHOU NORMAL UNIVERSITY | sim=0.8579
 230. HOHAI UNIVERSITY | sim=0.8577
 231. UNIVERSITY OF OTTAWA | sim=0.8575
 232. SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN | sim=0.8575
 233. UNIVERSITY OF MANCHESTER | sim=0.8574
