university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
AARHUS UNIVERSITY,45.0,136.0,408.0,132.0,513.0,169.0,355.0,49.0,222.0,234.0,531.0,,197.0,215.0,164.0,123.0,385.0,679.0,94.0,85.0,95.0,163.0
AGENCY FOR SCIENCE TECHNOLOGY & RESEARCH (A*STAR),849.0,198.0,122.0,931.0,169.0,,258.0,1627.0,,147.0,77.0,,506.0,156.0,178.0,633.0,571.0,406.0,,1043.0,2009.0,
AGROPARISTECH,109.0,447.0,1893.0,2796.0,,,2223.0,188.0,657.0,1127.0,,,186.0,769.0,,,,,105.0,,960.0,
AIX-MARSEILLE UNIVERSITE,465.0,147.0,206.0,232.0,,493.0,579.0,265.0,187.0,103.0,574.0,126.0,72.0,253.0,,146.0,212.0,146.0,211.0,320.0,443.0,55.0
ARIZONA STATE UNIVERSITY,615.0,341.0,353.0,1023.0,193.0,37.0,163.0,113.0,221.0,1111.0,307.0,380.0,254.0,564.0,213.0,493.0,1296.0,510.0,385.0,80.0,46.0,171.0
ARIZONA STATE UNIVERSITY-TEMPE,1033.0,386.0,364.0,1572.0,212.0,51.0,181.0,122.0,228.0,,319.0,,269.0,608.0,,578.0,,535.0,423.0,101.0,88.0,178.0
ASSISTANCE PUBLIQUE HOPITAUX PARIS (APHP),662.0,183.0,1646.0,12.0,,,,,,12.0,,,117.0,88.0,90.0,36.0,49.0,,1776.0,200.0,553.0,
AUSTRALIAN NATIONAL UNIVERSITY,640.0,350.0,557.0,525.0,202.0,114.0,374.0,116.0,108.0,382.0,321.0,309.0,380.0,525.0,,692.0,1140.0,152.0,98.0,185.0,105.0,65.0
AUTONOMOUS UNIVERSITY OF BARCELONA,370.0,292.0,346.0,239.0,737.0,312.0,687.0,176.0,448.0,210.0,394.0,244.0,247.0,285.0,179.0,138.0,232.0,212.0,124.0,213.0,181.0,159.0
BEIJING NORMAL UNIVERSITY,180.0,908.0,242.0,3783.0,364.0,343.0,195.0,23.0,54.0,,392.0,62.0,,,,352.0,,443.0,712.0,165.0,191.0,
BOSTON UNIVERSITY,1055.0,185.0,774.0,142.0,849.0,61.0,853.0,261.0,341.0,170.0,862.0,,357.0,144.0,85.0,93.0,420.0,168.0,904.0,56.0,71.0,
BRIGHAM & WOMEN'S HOSPITAL,564.0,57.0,890.0,15.0,,,2676.0,1021.0,,28.0,281.0,,201.0,37.0,45.0,46.0,119.0,,,271.0,126.0,
BROWN UNIVERSITY,,352.0,676.0,186.0,442.0,297.0,955.0,607.0,308.0,328.0,535.0,76.0,587.0,400.0,,144.0,560.0,248.0,1066.0,83.0,129.0,
CALIFORNIA STATE UNIVERSITY SYSTEM,298.0,231.0,481.0,809.0,295.0,43.0,331.0,171.0,241.0,798.0,625.0,390.0,318.0,744.0,,473.0,693.0,159.0,142.0,63.0,52.0,217.0
CENTRAL SOUTH UNIVERSITY,478.0,142.0,61.0,206.0,32.0,211.0,27.0,158.0,120.0,181.0,13.0,44.0,321.0,105.0,,261.0,45.0,345.0,,246.0,331.0,
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),22.0,4.0,2.0,140.0,8.0,40.0,5.0,3.0,2.0,18.0,6.0,1.0,4.0,14.0,5.0,14.0,8.0,2.0,3.0,72.0,80.0,1.0
CHINA AGRICULTURAL UNIVERSITY,4.0,215.0,398.0,3470.0,273.0,,314.0,112.0,520.0,660.0,1228.0,,95.0,358.0,,,518.0,,16.0,,767.0,
CHINESE ACADEMY OF AGRICULTURAL SCIENCES,2.0,175.0,357.0,4360.0,826.0,,570.0,107.0,541.0,666.0,1337.0,,28.0,243.0,205.0,,388.0,,6.0,,1920.0,
CHINESE ACADEMY OF SCIENCES,1.0,3.0,1.0,188.0,1.0,60.0,1.0,1.0,1.0,36.0,1.0,4.0,3.0,13.0,3.0,71.0,4.0,1.0,1.0,173.0,47.0,15.0
CHINESE UNIVERSITY OF HONG KONG,432.0,408.0,298.0,150.0,87.0,128.0,150.0,413.0,383.0,359.0,166.0,114.0,484.0,309.0,,321.0,190.0,237.0,493.0,151.0,152.0,
CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED,71.0,112.0,403.0,47.0,,,2056.0,359.0,,80.0,517.0,,234.0,117.0,,135.0,32.0,,1652.0,50.0,199.0,
COLORADO STATE UNIVERSITY FORT COLLINS,152.0,420.0,530.0,2138.0,801.0,310.0,787.0,62.0,102.0,884.0,1130.0,,192.0,774.0,,1159.0,1047.0,646.0,97.0,432.0,310.0,
COLORADO STATE UNIVERSITY SYSTEM,151.0,418.0,527.0,2128.0,797.0,305.0,770.0,61.0,101.0,884.0,1127.0,,187.0,773.0,,1155.0,1028.0,644.0,96.0,368.0,305.0,
COLUMBIA UNIVERSITY,462.0,68.0,172.0,39.0,128.0,18.0,319.0,102.0,26.0,67.0,201.0,30.0,150.0,32.0,13.0,25.0,198.0,59.0,629.0,12.0,20.0,75.0
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET),39.0,214.0,239.0,1473.0,720.0,,608.0,75.0,161.0,416.0,584.0,266.0,131.0,428.0,,460.0,216.0,322.0,23.0,749.0,571.0,
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),9.0,38.0,20.0,479.0,483.0,,208.0,7.0,50.0,175.0,84.0,211.0,12.0,76.0,38.0,182.0,68.0,18.0,7.0,894.0,358.0,11.0
CONSIGLIO NAZIONALE DELLE RICERCHE (CNR),37.0,76.0,27.0,429.0,108.0,,126.0,65.0,45.0,288.0,91.0,133.0,163.0,133.0,110.0,188.0,56.0,43.0,47.0,479.0,391.0,
CORNELL UNIVERSITY,23.0,41.0,145.0,52.0,278.0,39.0,320.0,78.0,211.0,37.0,184.0,172.0,35.0,30.0,37.0,88.0,202.0,89.0,17.0,109.0,91.0,134.0
COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH (CSIR) - INDIA,100.0,118.0,25.0,1024.0,,,140.0,182.0,282.0,657.0,100.0,,212.0,548.0,,976.0,52.0,755.0,159.0,,,
CURTIN UNIVERSITY,455.0,910.0,253.0,455.0,716.0,203.0,131.0,250.0,116.0,1059.0,266.0,378.0,,840.0,,494.0,532.0,,483.0,166.0,149.0,
CZECH ACADEMY OF SCIENCES,355.0,163.0,136.0,2135.0,,,655.0,119.0,226.0,857.0,286.0,190.0,108.0,387.0,,1084.0,469.0,114.0,46.0,,944.0,
DUKE UNIVERSITY,1030.0,69.0,449.0,30.0,306.0,49.0,491.0,101.0,368.0,61.0,305.0,74.0,65.0,70.0,88.0,66.0,118.0,177.0,136.0,49.0,57.0,
EBERHARD KARLS UNIVERSITY OF TUBINGEN,743.0,155.0,690.0,262.0,,,2162.0,372.0,372.0,209.0,1139.0,,183.0,198.0,154.0,70.0,225.0,426.0,394.0,160.0,362.0,
EGYPTIAN KNOWLEDGE BANK (EKB),14.0,32.0,10.0,152.0,29.0,419.0,10.0,34.0,180.0,158.0,40.0,5.0,41.0,346.0,79.0,231.0,1.0,68.0,10.0,735.0,265.0,
EMORY UNIVERSITY,769.0,186.0,439.0,42.0,,274.0,2211.0,466.0,,43.0,634.0,,94.0,129.0,127.0,59.0,159.0,,1047.0,74.0,97.0,
ERASMUS UNIVERSITY ROTTERDAM,1343.0,234.0,,49.0,711.0,23.0,1183.0,935.0,,62.0,,,148.0,96.0,104.0,80.0,91.0,,1949.0,87.0,63.0,
ETH ZURICH,126.0,60.0,63.0,927.0,21.0,133.0,64.0,20.0,12.0,337.0,95.0,17.0,97.0,162.0,60.0,230.0,392.0,42.0,152.0,394.0,202.0,136.0
FREE UNIVERSITY OF BERLIN,385.0,99.0,231.0,68.0,860.0,446.0,1843.0,269.0,263.0,46.0,464.0,377.0,89.0,97.0,190.0,40.0,93.0,566.0,158.0,82.0,246.0,
FUDAN UNIVERSITY,555.0,79.0,42.0,91.0,138.0,135.0,155.0,148.0,232.0,104.0,30.0,50.0,74.0,55.0,71.0,141.0,16.0,110.0,473.0,493.0,282.0,
GHENT UNIVERSITY,41.0,133.0,157.0,163.0,222.0,153.0,197.0,99.0,227.0,68.0,223.0,311.0,85.0,217.0,177.0,298.0,104.0,253.0,22.0,93.0,81.0,
GRIFFITH UNIVERSITY,452.0,645.0,535.0,483.0,88.0,148.0,295.0,172.0,663.0,621.0,372.0,,518.0,877.0,,629.0,403.0,,435.0,210.0,92.0,
HARVARD MEDICAL SCHOOL,323.0,5.0,356.0,5.0,429.0,,1247.0,635.0,,8.0,252.0,,13.0,4.0,4.0,5.0,18.0,974.0,1071.0,13.0,31.0,
HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,239.0,164.0,,90.0,,,2649.0,197.0,1031.0,130.0,,226.0,137.0,72.0,77.0,225.0,626.0,,1734.0,148.0,25.0,
HARVARD UNIVERSITY,99.0,2.0,70.0,1.0,140.0,4.0,168.0,29.0,87.0,2.0,54.0,28.0,5.0,1.0,2.0,2.0,7.0,24.0,130.0,3.0,3.0,8.0
HARVARD UNIVERSITY MEDICAL AFFILIATES,221.0,6.0,300.0,2.0,380.0,,1127.0,619.0,,4.0,161.0,,14.0,3.0,6.0,4.0,11.0,927.0,1242.0,6.0,21.0,
HELMHOLTZ ASSOCIATION,67.0,9.0,16.0,73.0,163.0,451.0,37.0,6.0,4.0,31.0,21.0,194.0,16.0,17.0,28.0,15.0,84.0,6.0,35.0,273.0,194.0,100.0
