university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
ARGONNE NATIONAL LABORATORY,1302.0,640.0,74.0,,830.0,,185.0,733.0,543.0,,73.0,,387.0,,124.0,,,51.0,,,,
BEIHANG UNIVERSITY,,1394.0,153.0,2223.0,24.0,443.0,20.0,757.0,434.0,,42.0,250.0,,,,,,137.0,,,575.0,
BEIJING INSTITUTE OF TECHNOLOGY,,1239.0,71.0,4663.0,40.0,172.0,22.0,349.0,510.0,,43.0,167.0,,,,,,293.0,,,325.0,
BEIJING JIAOTONG UNIVERSITY,,,1031.0,,68.0,,57.0,1089.0,,,370.0,295.0,,,,,,767.0,,,694.0,
BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,970.0,689.0,37.0,,549.0,,192.0,636.0,722.0,,51.0,,,,,,1195.0,828.0,,,,
CALIFORNIA INSTITUTE OF TECHNOLOGY,,244.0,138.0,3929.0,529.0,,322.0,337.0,14.0,854.0,328.0,224.0,235.0,350.0,163.0,478.0,,34.0,1078.0,725.0,,6.0
CEA,1050.0,195.0,181.0,1691.0,669.0,,278.0,284.0,81.0,768.0,242.0,,208.0,330.0,122.0,252.0,615.0,15.0,288.0,885.0,1778.0,33.0
CHINA UNIVERSITY OF GEOSCIENCES,794.0,1591.0,199.0,,99.0,,72.0,90.0,7.0,,170.0,324.0,,,,,,881.0,1882.0,,371.0,
CHINA UNIVERSITY OF MINING & TECHNOLOGY,,1587.0,289.0,,131.0,,33.0,203.0,60.0,,205.0,84.0,,,,,,914.0,,,722.0,
CHINA UNIVERSITY OF PETROLEUM,,,75.0,,240.0,,35.0,513.0,39.0,,155.0,289.0,,,,,,933.0,,,1032.0,
CHONGQING UNIVERSITY,844.0,578.0,85.0,2379.0,76.0,380.0,17.0,237.0,290.0,,39.0,246.0,,962.0,,,842.0,449.0,902.0,,590.0,
CITY UNIVERSITY OF HONG KONG,,788.0,148.0,2672.0,26.0,110.0,34.0,285.0,619.0,,32.0,140.0,793.0,901.0,,,1366.0,423.0,1157.0,476.0,209.0,
CNRS - INSTITUTE OF CHEMISTRY (INC),583.0,261.0,8.0,2470.0,,,450.0,472.0,781.0,,87.0,,621.0,708.0,,,160.0,396.0,1131.0,,,
CNRS - NATIONAL INSTITUTE FOR EARTH SCIENCES & ASTRONOMY (INSU),1268.0,1450.0,1471.0,,,,1627.0,245.0,18.0,,,,,,,,,665.0,537.0,,,10.0
CNRS - NATIONAL INSTITUTE OF NUCLEAR AND PARTICLE PHYSICS (IN2P3),,,1395.0,5068.0,,,,,,,,,,,,,,35.0,,,,79.0
COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO),35.0,400.0,345.0,2121.0,112.0,,217.0,18.0,46.0,1051.0,271.0,,242.0,815.0,,1016.0,1201.0,,25.0,,463.0,192.0
COMMUNAUTE UNIVERSITE GRENOBLE ALPES,689.0,274.0,168.0,568.0,393.0,,221.0,189.0,49.0,593.0,183.0,187.0,446.0,491.0,,437.0,538.0,55.0,507.0,474.0,811.0,61.0
DALIAN UNIVERSITY OF TECHNOLOGY,1139.0,630.0,47.0,4015.0,30.0,484.0,24.0,279.0,588.0,,56.0,151.0,,,,,1176.0,500.0,1538.0,,497.0,
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,,258.0,78.0,1560.0,234.0,,104.0,214.0,367.0,531.0,79.0,125.0,443.0,298.0,,218.0,972.0,60.0,1188.0,1137.0,1240.0,
GEORGIA INSTITUTE OF TECHNOLOGY,,299.0,100.0,1424.0,91.0,267.0,56.0,207.0,191.0,1059.0,26.0,99.0,287.0,692.0,,518.0,859.0,216.0,1233.0,566.0,370.0,
GUANGDONG UNIVERSITY OF TECHNOLOGY,868.0,1511.0,246.0,,81.0,,79.0,292.0,1049.0,,137.0,,,,,,,964.0,,,1868.0,
HARBIN INSTITUTE OF TECHNOLOGY,691.0,290.0,52.0,3814.0,22.0,368.0,4.0,85.0,371.0,,11.0,46.0,,,,,,196.0,,,525.0,
HEFEI UNIVERSITY OF TECHNOLOGY,153.0,1357.0,383.0,,96.0,,96.0,956.0,515.0,,229.0,,,,,,1320.0,886.0,1726.0,,939.0,
HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY,,1006.0,139.0,3042.0,62.0,138.0,83.0,315.0,435.0,,96.0,312.0,,874.0,,885.0,1061.0,236.0,,1129.0,781.0,
HUNAN UNIVERSITY,1003.0,518.0,46.0,5353.0,53.0,157.0,26.0,157.0,642.0,,45.0,138.0,,,,,,344.0,1406.0,,716.0,
INSTITUT POLYTECHNIQUE DE PARIS,,1095.0,709.0,5316.0,133.0,286.0,346.0,591.0,95.0,,546.0,32.0,,,,,,72.0,1596.0,,867.0,207.0
"INSTITUTE OF CHEMISTRY, CAS",,,31.0,,,,834.0,1252.0,,,52.0,,,,,,,,,,,
"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS",135.0,,,,,,430.0,47.0,90.0,,,,,,,,,,762.0,,206.0,
ISLAMIC AZAD UNIVERSITY,63.0,279.0,62.0,812.0,38.0,,28.0,286.0,468.0,897.0,153.0,63.0,550.0,776.0,,589.0,101.0,294.0,313.0,920.0,546.0,
ISTITUTO NAZIONALE DI FISICA NUCLEARE (INFN),,,1056.0,4242.0,,,1741.0,,1069.0,,1423.0,,,,,,,7.0,,,,38.0
JIANGSU UNIVERSITY,20.0,452.0,72.0,1600.0,352.0,,59.0,360.0,,871.0,126.0,356.0,626.0,615.0,,,244.0,708.0,845.0,,769.0,
JILIN UNIVERSITY,174.0,221.0,18.0,508.0,197.0,,101.0,458.0,200.0,377.0,29.0,153.0,286.0,280.0,,544.0,53.0,252.0,729.0,695.0,713.0,
KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY,,577.0,79.0,3173.0,156.0,,203.0,302.0,386.0,,82.0,181.0,417.0,832.0,92.0,,,504.0,286.0,,,
NANJING TECH UNIVERSITY,878.0,662.0,56.0,,,,167.0,894.0,,,57.0,,,,,,1358.0,725.0,,,,
NANJING UNIVERSITY,433.0,340.0,23.0,381.0,86.0,216.0,107.0,27.0,38.0,489.0,36.0,189.0,675.0,328.0,144.0,369.0,133.0,44.0,702.0,784.0,289.0,236.0
NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS,,,501.0,6610.0,69.0,541.0,38.0,1162.0,,,105.0,131.0,,,,,,609.0,,,856.0,
NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY,578.0,,887.0,,52.0,,256.0,175.0,25.0,,614.0,282.0,,,,,,,1770.0,,1052.0,
NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY,,1185.0,156.0,4426.0,64.0,,58.0,662.0,758.0,,83.0,298.0,,,,,,576.0,,,1348.0,
NANKAI UNIVERSITY,447.0,368.0,17.0,1592.0,227.0,248.0,164.0,167.0,1148.0,958.0,53.0,86.0,542.0,550.0,,1164.0,375.0,270.0,997.0,,577.0,
NASA GODDARD SPACE FLIGHT CENTER,,,,,,,1684.0,322.0,13.0,,,,,,,,,433.0,1287.0,,,20.0
NASA JET PROPULSION LABORATORY (JPL),,,1572.0,,,,1076.0,576.0,30.0,,1570.0,,,,,,,774.0,1394.0,,,29.0
NATIONAL AERONAUTICS & SPACE ADMINISTRATION (NASA),893.0,890.0,787.0,5176.0,,,361.0,127.0,5.0,,566.0,,703.0,,,,,217.0,440.0,,,4.0
NATIONAL INSTITUTE OF TECHNOLOGY (NIT SYSTEM),453.0,429.0,87.0,3662.0,19.0,262.0,18.0,268.0,610.0,,98.0,111.0,,,,,878.0,412.0,1683.0,,852.0,
NATIONAL OCEANIC ATMOSPHERIC ADMIN (NOAA) - USA,,1276.0,,3286.0,,,1969.0,59.0,8.0,,,,,,,,,,49.0,,1135.0,
NORTHEASTERN UNIVERSITY - CHINA,,,254.0,4523.0,46.0,,42.0,967.0,416.0,,71.0,279.0,,,,,,813.0,,,1480.0,
NORTHWEST A&F UNIVERSITY - CHINA,7.0,271.0,508.0,5677.0,478.0,,312.0,76.0,524.0,,1122.0,,223.0,551.0,,,730.0,,21.0,,1094.0,
NORTHWESTERN POLYTECHNICAL UNIVERSITY,1069.0,1007.0,123.0,4107.0,42.0,,29.0,1235.0,369.0,,23.0,129.0,,,,,1377.0,297.0,,,1911.0,
OAK RIDGE NATIONAL LABORATORY,908.0,527.0,104.0,,707.0,,207.0,376.0,277.0,,63.0,,539.0,,,,,85.0,495.0,,1861.0,
POLYTECHNIC UNIVERSITY OF MILAN,,1325.0,487.0,2370.0,180.0,160.0,70.0,534.0,668.0,,273.0,98.0,,,,,,502.0,,,528.0,
SHANGHAI UNIVERSITY,,956.0,109.0,2831.0,111.0,323.0,98.0,452.0,1044.0,,68.0,135.0,,1139.0,,,1069.0,445.0,1610.0,,650.0,
SHENZHEN UNIVERSITY,405.0,467.0,89.0,1125.0,39.0,433.0,73.0,385.0,535.0,776.0,37.0,290.0,560.0,631.0,,574.0,335.0,233.0,717.0,497.0,425.0,
SMITHSONIAN INSTITUTION,1367.0,649.0,1821.0,,,,2654.0,56.0,244.0,,,,739.0,823.0,152.0,,,765.0,42.0,,919.0,7.0
SOOCHOW UNIVERSITY - CHINA,574.0,304.0,40.0,518.0,318.0,,189.0,677.0,,410.0,22.0,213.0,628.0,252.0,169.0,419.0,87.0,263.0,1702.0,666.0,1037.0,
