university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
AALTO UNIVERSITY,,844.0,429.0,3708.0,106.0,124.0,147.0,710.0,737.0,,270.0,337.0,,,,751.0,,321.0,1927.0,777.0,476.0,229.0
ASTON UNIVERSITY,,932.0,1356.0,1932.0,,193.0,514.0,1854.0,,,,,,,,1176.0,1384.0,,,671.0,665.0,
AUSTRALIAN CATHOLIC UNIVERSITY,,,,715.0,,,,,,,,,,,,538.0,,,,146.0,263.0,
BETH ISRAEL DEACONESS MEDICAL CENTER,,262.0,2106.0,126.0,,,,,,188.0,1520.0,,327.0,181.0,94.0,110.0,502.0,,,225.0,456.0,
BI NORWEGIAN BUSINESS SCHOOL,,,,,,158.0,,,,,,,,,,,,,,950.0,1108.0,
BOCCONI UNIVERSITY,,,,4665.0,,52.0,2628.0,,,,,,,,,,,,,,397.0,
BOSTON COLLEGE,,,953.0,1860.0,,102.0,,,938.0,,1394.0,,,,,,,,,328.0,419.0,
CARDIFF UNIVERSITY,,309.0,392.0,325.0,261.0,198.0,285.0,533.0,354.0,223.0,782.0,,390.0,237.0,,216.0,551.0,366.0,791.0,128.0,166.0,129.0
CENTER FOR ECONOMIC & POLICY RESEARCH (CEPR),,,,,,31.0,,,,,,,,,,,,,,,,
CENTRAL UNIVERSITY OF FINANCE & ECONOMICS,,,,,,116.0,1578.0,,,,,,,,,,,,,,1072.0,
CENTRE FOR ADDICTION & MENTAL HEALTH - CANADA,,,,840.0,,,,,,,,,,1033.0,,287.0,933.0,,,102.0,534.0,
CENTRE FOR ECONOMIC POLICY RESEARCH - UK,,,,,,19.0,,,,,,,,,,,,,,,1413.0,
CIBERSAM,,,,1007.0,,,,,,,,,,,,269.0,,,,64.0,1001.0,
"CITY ST GEORGES, UNIVERSITY OF LONDON",,,,313.0,,96.0,929.0,1949.0,,345.0,,,,680.0,,552.0,858.0,,,250.0,321.0,
CITY UNIVERSITY OF NEW YORK (CUNY) SYSTEM,1171.0,480.0,605.0,956.0,718.0,237.0,851.0,502.0,454.0,916.0,776.0,302.0,,599.0,,373.0,1007.0,250.0,896.0,123.0,109.0,
COPENHAGEN BUSINESS SCHOOL,,,,,,47.0,,,,,,,,,,,,,,,400.0,
DALHOUSIE UNIVERSITY,415.0,531.0,658.0,334.0,,,678.0,272.0,393.0,432.0,931.0,,486.0,667.0,,392.0,780.0,,303.0,189.0,293.0,
DARTMOUTH COLLEGE,,658.0,1398.0,376.0,,115.0,2048.0,732.0,635.0,480.0,1078.0,,285.0,549.0,,351.0,1254.0,,1042.0,264.0,214.0,
DEEPMIND,,385.0,,6344.0,272.0,,,,,,,,,,46.0,1130.0,,,,,,
ERASMUS UNIVERSITY ROTTERDAM - EXCL ERASMUS MC,,,,1741.0,,25.0,1373.0,1290.0,,,,,,,,1145.0,1193.0,,,161.0,142.0,
EUROPEAN CENTRAL BANK,,,,,,80.0,,,,,,,,,,,,,,,2297.0,
FEDERAL RESERVE SYSTEM - USA,,,,,,14.0,,,,,,,,,,,,,,,1936.0,
FEDERAL RESERVE SYSTEM BOARD OF GOVERNORS,,,,,,177.0,,,,,,,,,,,,,,,,
FLORIDA STATE UNIVERSITY,914.0,580.0,395.0,2059.0,,204.0,710.0,535.0,301.0,,568.0,237.0,,716.0,,808.0,,242.0,663.0,76.0,145.0,
GEORGE WASHINGTON UNIVERSITY,1352.0,623.0,1653.0,317.0,675.0,189.0,1150.0,731.0,,282.0,1194.0,,583.0,567.0,,459.0,1017.0,700.0,919.0,298.0,122.0,
GEORGETOWN UNIVERSITY,,311.0,1671.0,353.0,,200.0,,1431.0,,599.0,,,,672.0,,364.0,1001.0,,1887.0,482.0,187.0,
GEORGIA STATE UNIVERSITY,,933.0,1408.0,1822.0,436.0,90.0,2289.0,1811.0,,654.0,,,541.0,,,605.0,1048.0,,,231.0,211.0,
HAMBURG UNIVERSITY OF TECHNOLOGY,,,1626.0,,,185.0,1075.0,,,,1096.0,,,,,,,,,,1884.0,
HEC MONTREAL,,,,,691.0,184.0,1665.0,,,,,,,,,,,,,,1250.0,
HOKKAIDO UNIVERSITY,464.0,422.0,158.0,684.0,,,691.0,326.0,242.0,399.0,331.0,,255.0,543.0,189.0,654.0,473.0,715.0,196.0,1106.0,1140.0,
