已将数据库上下文更改为 "ESI"。
discipline,institution_count,avg_rank,total_top_papers,total_docs,total_cites,avg_cites_per_paper
----------,-----------------,--------,----------------,----------,-----------,-------------------
MULTIDISCIPLINARY,17,125,118,2665,134168,50.340000000000
SPACE SCIENCE,10,151,778,45825,993908,21.690000000000
MATHEMATICS,86,190,2367,124005,942827,7.600000000000
ECONOMICS   BUSINESS,55,287,1372,62617,988422,15.790000000000
COMPUTER SCIENCE,190,378,5882,325041,5330017,16.400000000000
MICROBIOLOGY,92,427,1347,81415,1672848,20.550000000000
PHYSICS,112,554,9832,551518,9516603,17.260000000000
GEOSCIENCES,177,571,7381,475790,8302420,17.450000000000
MOLECULAR BIOLOGY   GENETICS,115,600,3318,232132,6896738,29.710000000000
NEUROSCIENCE   BEHAVIOR,71,614,1591,115210,2180233,18.920000000000
IMMUNOLOGY,84,624,1050,80843,1681473,20.800000000000
PHARMACOLOGY   TOXICOLOGY,182,625,2556,217471,3502876,16.110000000000
AGRICULTURAL SCIENCES,251,639,4615,274214,5080975,18.530000000000
MATERIALS SCIENCE,375,668,21769,1119272,32354021,28.910000000000
PSYCHIATRY PSYCHOLOGY,57,688,656,55865,711797,12.740000000000
BIOLOGY   BIOCHEMISTRY,206,881,4173,310748,6218009,20.010000000000
PLANT   ANIMAL SCIENCE,248,936,7763,313104,5066265,16.180000000000
CHEMISTRY,423,946,26271,1249235,30165345,24.150000000000
ENVIRONMENT ECOLOGY,337,1020,9594,489374,11317663,23.130000000000
ENGINEERING,534,1207,24675,1503716,24966306,16.600000000000
SOCIAL SCIENCES  GENERAL,180,1226,4812,131047,1897518,14.480000000000
CLINICAL MEDICINE,259,3012,15613,972240,16535599,17.010000000000

(22 行受影响)
