已将数据库上下文更改为 "ESI"。
region_group,discipline,institution_count,avg_rank,total_top_papers,total_docs,total_cites,avg_cites_per_paper
------------,----------,-----------------,--------,----------------,----------,-----------,-------------------
Africa,MULTIDISCIPLINARY,1,79,8,386,7529,19.510000000000
Africa,MATHEMATICS,4,180,318,7743,70984,9.170000000000
Africa,SPACE SCIENCE,1,202,50,1155,58829,50.930000000000
Africa,ECONOMICS   BUSINESS,4,377,53,3081,48558,15.760000000000
Africa,COMPUTER SCIENCE,8,443,123,8840,156846,17.740000000000
Africa,MICROBIOLOGY,11,489,115,8844,157716,17.830000000000
Africa,IMMUNOLOGY,14,500,190,14427,324727,22.510000000000
Africa,PSYCHIATRY PSYCHOLOGY,8,642,116,6091,100172,16.450000000000
Africa,PHARMACOLOGY   TOXICOLOGY,30,662,290,36308,590884,16.270000000000
Africa,NEUROSCIENCE   BEHAVIOR,9,668,167,6136,216529,35.290000000000
Africa,GEOSCIENCES,9,686,91,12559,187950,14.970000000000
Africa,PHYSICS,14,710,439,28999,633333,21.840000000000
Africa,AGRICULTURAL SCIENCES,26,729,284,23036,343630,14.920000000000
Africa,MOLECULAR BIOLOGY   GENETICS,6,794,88,5455,164566,30.170000000000
Africa,PLANT   ANIMAL SCIENCE,41,850,1096,53105,720980,13.580000000000
Africa,BIOLOGY   BIOCHEMISTRY,23,941,309,28307,564315,19.940000000000
Africa,MATERIALS SCIENCE,27,1068,213,36737,732479,19.940000000000
Africa,ENVIRONMENT ECOLOGY,36,1092,583,38955,812124,20.850000000000
Africa,SOCIAL SCIENCES  GENERAL,25,1094,416,32769,354639,10.820000000000
Africa,CHEMISTRY,44,1251,656,85181,1535456,18.030000000000
Africa,ENGINEERING,53,1322,1120,79909,1421619,17.790000000000
Africa,CLINICAL MEDICINE,53,2796,2441,99658,2829332,28.390000000000
Asia,MULTIDISCIPLINARY,23,133,140,3472,165784,47.750000000000
Asia,SPACE SCIENCE,18,144,1541,74117,1840336,24.830000000000
Asia,MATHEMATICS,95,193,2500,141531,1037522,7.330000000000
Asia,ECONOMICS   BUSINESS,65,294,1488,73012,1139002,15.600000000000
Asia,COMPUTER SCIENCE,262,418,6696,400648,6365399,15.890000000000
Asia,MICROBIOLOGY,133,453,1584,108320,2145050,19.800000000000
Asia,PHYSICS,207,554,14401,823560,15662866,19.020000000000
Asia,GEOSCIENCES,250,608,8416,566526,9858409,17.400000000000
Asia,MOLECULAR BIOLOGY   GENETICS,184,653,4339,297123,9286170,31.250000000000
Asia,IMMUNOLOGY,143,656,1498,114785,2477347,21.580000000000
Asia,AGRICULTURAL SCIENCES,346,681,5312,352380,6102347,17.320000000000
Asia,PHARMACOLOGY   TOXICOLOGY,314,706,3303,297035,4770683,16.060000000000
Asia,PSYCHIATRY PSYCHOLOGY,86,729,914,74807,972164,13.000000000000
Asia,MATERIALS SCIENCE,572,739,24583,1475932,40245644,27.270000000000
Asia,NEUROSCIENCE   BEHAVIOR,161,745,2533,188750,3839770,20.340000000000
Asia,BIOLOGY   BIOCHEMISTRY,350,918,5551,462272,9297504,20.110000000000
Asia,PLANT   ANIMAL SCIENCE,423,1034,9879,440384,6840828,15.530000000000
Asia,CHEMISTRY,688,1045,30493,1739189,39598549,22.770000000000
Asia,ENVIRONMENT ECOLOGY,479,1111,11277,591605,13475366,22.780000000000
Asia,SOCIAL SCIENCES  GENERAL,282,1320,5661,181104,2537780,14.010000000000
Asia,ENGINEERING,876,1348,29182,1986156,31783939,16.000000000000
Asia,CLINICAL MEDICINE,667,2922,30820,1795100,35031769,19.520000000000
Europe,SPACE SCIENCE,57,102,7907,209817,8803837,41.960000000000
Europe,MULTIDISCIPLINARY,29,112,140,3892,213884,54.950000000000
Europe,MATHEMATICS,62,208,913,111618,786887,7.050000000000
Europe,ECONOMICS   BUSINESS,78,321,852,70769,1256130,17.750000000000
Europe,MICROBIOLOGY,118,429,1443,90976,2411257,26.500000000000
Europe,PHYSICS,141,436,12465,498562,14359775,28.800000000000
Europe,COMPUTER SCIENCE,94,520,883,89844,1252187,13.940000000000
Europe,IMMUNOLOGY,215,586,3563,174523,5338362,30.590000000000
Europe,GEOSCIENCES,176,599,5380,268662,6604728,24.580000000000
Europe,PSYCHIATRY PSYCHOLOGY,159,614,3425,166828,3250794,19.490000000000
Europe,NEUROSCIENCE   BEHAVIOR,215,628,6231,294519,8625277,29.290000000000
Europe,MOLECULAR BIOLOGY   GENETICS,200,631,5358,214124,11044188,51.580000000000
Europe,AGRICULTURAL SCIENCES,205,641,2323,163679,3450750,21.080000000000
Europe,PHARMACOLOGY   TOXICOLOGY,209,708,1978,153706,3016393,19.620000000000
Europe,BIOLOGY   BIOCHEMISTRY,234,853,4100,271495,7824749,28.820000000000
Europe,MATERIALS SCIENCE,174,876,2022,238526,5929073,24.860000000000
Europe,PLANT   ANIMAL SCIENCE,251,903,6103,272101,5151800,18.930000000000
Europe,ENVIRONMENT ECOLOGY,268,945,5967,302535,8775603,29.010000000000
Europe,CHEMISTRY,244,1037,5085,513865,11315846,22.020000000000
Europe,SOCIAL SCIENCES  GENERAL,283,1179,3581,251009,3430966,13.670000000000
Europe,ENGINEERING,280,1363,3439,391534,6571116,16.780000000000
Europe,CLINICAL MEDICINE,677,2403,65486,1948001,59370656,30.480000000000
North America,MULTIDISCIPLINARY,103,95,777,15424,996780,64.630000000000
North America,SPACE SCIENCE,85,109,11564,282675,11907689,42.130000000000
North America,MATHEMATICS,100,158,2490,157564,1388428,8.810000000000
North America,ECONOMICS   BUSINESS,197,230,4217,232749,5423103,23.300000000000
North America,MICROBIOLOGY,255,339,4633,186708,6140145,32.890000000000
North America,COMPUTER SCIENCE,212,408,3349,199500,4198954,21.050000000000
North America,PHYSICS,242,438,23690,703906,24116383,34.260000000000
North America,GEOSCIENCES,299,494,13745,472792,14048782,29.710000000000
North America,MOLECULAR BIOLOGY   GENETICS,363,495,21865,551624,35621212,64.580000000000
North America,PSYCHIATRY PSYCHOLOGY,429,495,12745,699268,14283359,20.430000000000
North America,IMMUNOLOGY,340,520,8690,363250,12152802,33.460000000000
North America,NEUROSCIENCE   BEHAVIOR,387,552,19776,742218,24031788,32.380000000000
North America,AGRICULTURAL SCIENCES,213,608,3065,206958,4048060,19.560000000000
North America,PHARMACOLOGY   TOXICOLOGY,303,613,4834,249630,5304366,21.250000000000
North America,BIOLOGY   BIOCHEMISTRY,415,665,16052,602123,22526003,37.410000000000
North America,MATERIALS SCIENCE,277,672,10500,426782,17661816,41.380000000000
North America,ENVIRONMENT ECOLOGY,410,846,12721,556070,17428243,31.340000000000
North America,PLANT   ANIMAL SCIENCE,375,852,10301,512792,8915228,17.390000000000
North America,CHEMISTRY,352,943,14425,642992,19679981,30.610000000000
North America,SOCIAL SCIENCES  GENERAL,698,1016,16200,1201244,16780929,13.970000000000
North America,ENGINEERING,396,1126,10510,693929,14365755,20.700000000000
North America,CLINICAL MEDICINE,1079,2603,154784,4117410,138905962,33.740000000000
Oceania,MULTIDISCIPLINARY,5,110,26,706,29670,42.030000000000
Oceania,SPACE SCIENCE,9,161,685,17648,715001,40.510000000000
Oceania,ECONOMICS   BUSINESS,26,194,429,35252,615990,17.470000000000
Oceania,MATHEMATICS,6,282,64,5023,43924,8.740000000000
Oceania,COMPUTER SCIENCE,29,292,818,31546,748007,23.710000000000
Oceania,MICROBIOLOGY,29,452,353,14882,460796,30.960000000000
Oceania,PHYSICS,15,490,999,27667,1027271,37.130000000000
Oceania,PSYCHIATRY PSYCHOLOGY,68,545,1713,76728,1651612,21.530000000000
Oceania,MATERIALS SCIENCE,34,559,1517,51806,2097651,40.490000000000
Oceania,GEOSCIENCES,48,566,1400,55661,1547091,27.790000000000
Oceania,AGRICULTURAL SCIENCES,53,602,618,42078,890867,21.170000000000
Oceania,NEUROSCIENCE   BEHAVIOR,61,625,1583,65957,2238078,33.930000000000
Oceania,IMMUNOLOGY,59,630,810,37754,1237401,32.780000000000
Oceania,MOLECULAR BIOLOGY   GENETICS,44,630,1242,35352,2067121,58.470000000000
Oceania,PHARMACOLOGY   TOXICOLOGY,39,707,436,24248,547393,22.570000000000
Oceania,ENVIRONMENT ECOLOGY,68,769,2356,87717,2987033,34.050000000000
Oceania,PLANT   ANIMAL SCIENCE,69,807,1928,76551,1489211,19.450000000000
Oceania,BIOLOGY   BIOCHEMISTRY,50,810,832,43407,1517093,34.950000000000
Oceania,CHEMISTRY,39,933,1497,59781,1771497,29.630000000000
Oceania,ENGINEERING,54,997,2332,95819,2385650,24.900000000000
Oceania,SOCIAL SCIENCES  GENERAL,106,1082,2074,163474,2169972,13.270000000000
Oceania,CLINICAL MEDICINE,233,2594,16541,509942,16854497,33.050000000000
South America,MULTIDISCIPLINARY,1,103,6,200,5991,29.960000000000
South America,SPACE SCIENCE,4,122,340,11871,446086,37.580000000000
South America,MATHEMATICS,5,264,39,7454,40333,5.410000000000
South America,MICROBIOLOGY,16,421,99,16729,257566,15.400000000000
South America,ECONOMICS   BUSINESS,2,506,6,1684,16182,9.610000000000
South America,PHYSICS,18,534,730,42345,995725,23.510000000000
South America,COMPUTER SCIENCE,9,633,44,6194,80070,12.930000000000
South America,IMMUNOLOGY,17,646,157,14699,310616,21.130000000000
South America,AGRICULTURAL SCIENCES,69,667,368,83170,1035087,12.450000000000
South America,PSYCHIATRY PSYCHOLOGY,14,702,197,9690,179914,18.570000000000
South America,MOLECULAR BIOLOGY   GENETICS,12,729,129,13117,374121,28.520000000000
South America,NEUROSCIENCE   BEHAVIOR,20,778,252,18807,440157,23.400000000000
South America,PHARMACOLOGY   TOXICOLOGY,30,786,124,23653,328002,13.870000000000
South America,GEOSCIENCES,28,802,201,29142,444118,15.240000000000
South America,BIOLOGY   BIOCHEMISTRY,27,861,262,34856,721700,20.710000000000
South America,MATERIALS SCIENCE,14,957,53,20882,312914,14.980000000000
South America,PLANT   ANIMAL SCIENCE,97,996,1093,140760,1412726,10.040000000000
South America,ENVIRONMENT ECOLOGY,74,1170,900,70259,1423923,20.270000000000
South America,CHEMISTRY,44,1280,318,70603,1070062,15.160000000000
South America,SOCIAL SCIENCES  GENERAL,51,1377,298,43559,384761,8.830000000000
South America,ENGINEERING,59,1687,299,55705,774079,13.900000000000
South America,CLINICAL MEDICINE,122,3392,3421,175123,4272126,24.400000000000

(132 行受影响)
